site,trap_id,dist_veg,veg_type,veg_cover,dist_water,sigmodon,reithro,dipod,chaedo,pero,neotoma
Heritage,1A,0.5,bermuda,10,3,0,0,0,0,0,0
Heritage,1B,0,bermuda,40,4,0,1,0,0,0,0
Heritage,1C,0.5,Unknown grass,10,4,0,1,0,0,0,0
Heritage,1D,0.25,Unknown grass,30,5,1,0,0,0,0,0
Heritage,1E,0.5,Tall flatsedge / Bermuda mix,30,10,1,0,0,0,0,0
Heritage,1F,0,Smartweed/Typha mix,50,8,1,0,0,0,0,0
Heritage,1G,0.5,Typha,50,12,1,0,0,0,0,0
Heritage,1H,0,Typha,70,15,1,1,0,0,0,0
Heritage,1I,0,Typha,80,14,1,0,0,0,0,0
Heritage,1J,0,Typha,50,11,0,1,0,0,0,0
Heritage,2A,0,bermuda,50,14,1,0,0,0,0,0
Heritage,2B,0,cheeseweed,30,16,0,0,0,0,0,0
Heritage,2C,5,bermuda,0,18,0,0,0,0,0,0
Heritage,2D,1,Salt cedar,20,19,0,0,0,0,0,0
Heritage,2E,0,bermuda,30,22,0,0,0,0,0,0
Heritage,2F,0,Cockleburr,30,23,0,1,0,0,0,0
Heritage,2G,0.5,Unknown grass,20,20,0,1,0,0,0,0
Heritage,2H,0,Unknown grass,60,24,1,1,0,0,0,0
Heritage,2I,0,cheeseweed,20,25,0,0,0,0,0,0
Heritage,2J,0,bermuda,50,21,0,0,0,0,0,0
Heritage,3A,0,Desert broom,20,23,0,0,0,0,0,0
Heritage,3B,0,Typha,100,24,0,1,0,0,0,0
Heritage,3C,0,Salt cedar / Typha,50,24,1,0,0,0,0,0
Heritage,3D,0,Salt cedar / Typha,60,24,0,0,0,0,0,0
Heritage,3E,0,bermuda,50,25,0,0,0,0,0,0
Heritage,3F,0,Arrowweed,50,30,0,0,0,0,0,0
Heritage,3G,0,bermuda,30,28,1,0,0,0,0,0
Heritage,3H,0,bermuda,90,30,0,1,0,0,0,0
Heritage,3I,0.5,Mesquite,10,26,0,0,0,0,0,0
Heritage,3J,0.25,Cockleburr,30,5,0,0,0,0,0,0
Heritage,4A,0,buffelgrass,80,2,0,0,0,0,0,0
Heritage,4B,0,Umbrella flatsedge,80,1,1,0,0,0,0,0
Heritage,4C,0,Typha,80,5,1,0,0,0,0,0
Heritage,4D,0,Typha,60,21,1,0,0,0,0,0
Heritage,4E,0.5,Typha,40,34,1,0,0,0,0,0
Heritage,4F,0,bermuda,50,36,0,0,0,0,0,0
Heritage,4G,0,buffelgrass,40,35,0,0,0,0,0,0
Heritage,4H,0.5,buffelgrass,30,32,1,0,0,0,0,0
Heritage,4I,0,buffelgrass,50,26,1,0,0,0,0,0
Heritage,4J,0,bermuda,50,17,0,0,0,0,0,0
Drexel,A1,4.5,Desert broom,0,1500,0,0,0,0,0,0
Drexel,A10,4,Johnson grass,0,1500,0,0,0,0,0,0
Drexel,A2,2,Unknown grass,0,1500,0,0,0,0,0,0
Drexel,A3,1,Desert broom,5,1500,0,0,0,0,0,1
Drexel,A4,4.5,Desert broom,0,1500,0,0,0,0,0,0
Drexel,A5,6,Desert broom,0,1500,0,0,0,0,0,0
Drexel,A6,0,Salt cedar,40,1500,0,0,0,0,0,0
Drexel,A7,0,Desert broom,60,1500,0,0,0,0,0,0
Drexel,A8,2.5,cheeseweed,0,1500,0,0,0,0,0,0
Drexel,A9,5.5,bermuda,0,1500,0,0,0,0,0,0
Drexel,B1,0,Desert broom,30,1500,0,0,0,0,0,0
Drexel,B10,2,Desert broom,0,1500,0,0,0,0,1,0
Drexel,B2,2,Cockleburr,0,1500,0,0,0,0,0,0
Drexel,B3,1.5,bermuda,0,1500,0,0,0,0,0,0
Drexel,B4,2,Desert broom,0,1500,0,0,0,0,0,0
Drexel,B5,1.5,Unidentified Grama grass,0,1500,0,0,0,0,0,0
Drexel,B6,1.5,Desert broom/salt cedar,0,1500,0,0,0,0,0,0
Drexel,B7,2.5,Desert broom,0,1500,0,0,0,1,0,0
Drexel,B8,1,cheeseweed,0,1500,0,0,0,0,0,0
Drexel,B9,0.5,buffelgrass,20,1500,0,0,0,0,0,0
Drexel,C1,0,cheeseweed,50,1500,0,0,0,0,0,0
Drexel,C10,0,Desert broom,70,1500,0,0,0,0,1,0
Drexel,C2,0.25,bermuda,30,1500,0,0,1,0,0,0
Drexel,C3,0,Cheeseweed/Johnson,15,1500,0,0,0,0,0,0
Drexel,C4,0,bermuda,40,1500,0,0,0,0,0,0
Drexel,C5,0,Desert broom,20,1500,0,0,1,0,0,0
Drexel,C6,0.5,cheeseweed,5,1500,0,0,1,0,0,0
Drexel,C7,0,cheeseweed,30,1500,0,0,0,1,0,0
Drexel,C8,0,bermuda,60,1500,0,0,0,0,1,0
Drexel,C9,0,Desert broom/Bermuda grass,80,1500,0,0,0,1,0,0
Drexel,D1,0,Johnson_bermuda,90,1500,0,0,0,0,0,0
Drexel,D10,0,Unidentified aster/Bermuda grass,30,1500,0,0,0,0,1,0
Drexel,D2,0,Johnson grass/desert broom,50,1500,0,0,0,0,0,0
Drexel,D3,0,bermuda_johnson,100,1500,0,0,0,0,0,0
Drexel,D4,0,Johnson grass,50,1500,0,0,0,0,0,0
Drexel,D5,0,Johnson_bermuda,50,1500,0,0,0,0,0,0
Drexel,D6,0,bermuda,40,1500,1,0,0,0,0,0
Drexel,D7,0,bermuda,40,1500,0,0,0,0,0,0
Drexel,D8,0,buffelgrass,80,1500,0,0,0,0,0,0
Drexel,D9,1,cheeseweed,0,1500,0,0,0,0,0,0
